Month,Year,Department,Total_Count,Nationality
Feb,2016,FMT,2,Omani,
Feb,2016,Labour,10,Expat,
Feb,2016,PMV,2,Expat,
Feb,2016,PROJECTS,1,Expat,
Mar,2016,Labour,11,Expat,
Mar,2016,PMV,1,Omani,
Apr,2016,ADMINISTRATION & GENERAL,1,Omani,
Apr,2016,FMT,1,Omani,
Apr,2016,Labour,1,Expat,
Apr,2016,PROJECTS,1,Omani,
May,2016,ADMINISTRATION,1,Omani,
May,2016,FMT,1,Omani,
May,2016,PROJECTS,3,Omani,
Jun,2016,FMT,2,Omani,
Jun,2016,Labour,7,Expat,
Aug,2016,ADMINISTRATION,1,Omani,
Aug,2016,FMT,1,Omani,
Aug,2016,INFRASTRUCTURE,1,Expat,
Aug,2016,Labour,2,Expat,
Sep,2016,Labour,4,Expat,
Oct,2016,INFRASTRUCTURE,1,Expat,
Oct,2016,Labour,1,Expat,
Oct,2016,PROJECTS,1,Expat,
Oct,2016,TRANSPORT,1,Omani,
Nov,2016,Labour,1,Expat,
Dec,2016,Labour,1,Expat,
Dec,2016,TRANSPORT,2,Omani,
Jan,2017,ADMINISTRATION,1,Omani,
Jan,2017,CONTRACTS,1,Expat,
Jan,2017,Labour,2,Expat,
Feb,2017,Labour,2,Expat,
Feb,2017,PROJECTS,3,Omani,
Mar,2017,PMV,1,Omani,
Apr,2017,ADMINISTRATION,1,Expat,
Apr,2017,CRUSHER,1,Expat,
Apr,2017,Labour,2,Expat,
May,2017,FMT,1,Omani,
May,2017,HSE,1,Expat,
May,2017,PMV,1,Omani,
May,2017,PROJECTS,1,Omani,
Jun,2017,Labour,1,Expat,
Jul,2017,CIVIL,1,Expat,
Jul,2017,Labour,1,Expat,
Jul,2017,PROJECTS,1,Omani,
Jul,2017,SITE,17,Expat,
Aug,2017,Labour,3,Expat,
Sep,2017,Labour,3,Expat,
Oct,2017,ADMINISTRATION,1,Omani,
Oct,2017,AFW,1,Omani,
Oct,2017,Labour,1,Expat,
Oct,2017,PMV,1,Omani,
Nov,2017,PMV,2,Omani,
Nov,2017,PROJECTS,1,Omani,
Nov,2017,STORES,1,Expat,
Dec,2017,PMV,1,Omani,
Jan,2018,PMV,1,Expat,
Jan,2018,PROJECTS,4,Expat,
Jan,2018,STORES,2,Expat,
Feb,2018,Labour,3,Expat,
Feb,2018,PROJECTS,1,Omani,
Feb,2018,STORES,1,Expat,
Mar,2018,DESIGN & BUILD,1,Expat,
Mar,2018,LOGISTICS,1,Expat,
Mar,2018,Labour,20,Expat,
Mar,2018,PMV,1,Expat,
Apr,2018,Labour,28,Expat,
May,2018,Labour,7,Expat,
May,2018,PROJECTS,1,Omani,
May,2018,SITE,1,Omani,
Jun,2018,FINANCE,1,Expat,
Jun,2018,Labour,4,Expat,
Jun,2018,PROJECTS,1,Omani,
Jul,2018,Labour,5,Expat,
Jul,2018,PMV,1,Omani,
Jul,2018,PROJECTS,1,Expat,
Jul,2018,PROJECTS,2,Omani,
Aug,2018,Labour,2,Expat,
Aug,2018,PMV,2,Omani,
Aug,2018,PROJECTS,2,Expat,
Sep,2018,ADMINISTRATION,1,Omani,
Sep,2018,DESIGN & BUILD,1,Expat,
Sep,2018,FMT,1,Omani,
Sep,2018,Labour,9,Expat,
Sep,2018,PROJECTS,2,Expat,
Oct,2018,Labour,22,Expat,
Oct,2018,PMV,2,Expat,
Oct,2018,QS PRE TENDER,1,Expat,
Nov,2018,ADMINISTRATION & GENERAL,2,Omani,
Nov,2018,Labour,12,Expat,
Nov,2018,MAS,1,Expat,
Dec,2018,CWH,1,Expat,
Dec,2018,CWS,1,Expat,
Dec,2018,Labour,20,Expat,
Dec,2018,PMV,1,Expat,
Jan,2019,ADMINISTRATION,1,Omani,
Jan,2019,Labour,50,Expat,
Jan,2019,PMV,1,Expat,
Jan,2019,PROJECTS,1,Omani,
Feb,2019,IT,1,Omani,
Feb,2019,Labour,44,Expat,
Feb,2019,MEDICAL,1,Expat,
Feb,2019,PMV,3,Expat,
Feb,2019,PURCHASE,1,Expat,
Feb,2019,SITE,1,Expat,
Mar,2019,Labour,36,Expat,
Mar,2019,PMV,1,Expat,
Apr,2019,Labour,6,Expat,
May,2019,ADMINISTRATION,1,Omani,
May,2019,Labour,2,Expat,
May,2019,PMV,1,Expat,
May,2019,TRANSPORT,1,Omani,
Jul,2019,ACCOUNTS,1,Omani,
Jul,2019,ADMINISTRATION,8,Omani,
Jul,2019,AUDIT,1,Expat,
Jul,2019,CAD,1,Expat,
Jul,2019,MECHANICAL WORKSHOP,1,Expat,
Jul,2019,PURCHASE,1,Omani,
Aug,2019,HSE,2,Expat,
Sep,2019,ADMINISTRATION,2,Omani,
Sep,2019,Labour,3,Expat,
Oct,2019,ADMINISTRATION & GENERAL,1,Omani,
Oct,2019,Labour,2,Expat,
